"","DOWNLOAD.DATE","IDENTIFIER","LATEST.ADMISSION.DATE","RACE","GENDER","AGE","BOND.AMOUNT","OFFENSE","FACILITY","DETAINER","max_bail","min_bail","earliest","earliest2","latest","duration1","duration2","for_filter","prior","current","quantile"
"10880",2016-12-28,"ZZSEBWZE","12/27/2016","WHITE","F",40,500000,"CRIMINAL ATTEMPT","YORK CI","NONE",500000,500000,2016-12-28,2016-12-27,2017-01-03,6,7,"ZZSEBWZECRIMINAL ATTEMPT","in after July 1","out",4
"10881",2016-12-28,"ZZRWHSCJ","12/27/2016","BLACK","M",49,20000,"UNLAWFUL RESTRAINT, FIRST DEGREE      DF","BRIDGEPORT CC","NONE",20000,20000,2016-12-28,2016-12-27,NA,NA,NA,"ZZRWHSCJUNLAWFUL RESTRAINT, FIRST DEGREE      DF","in after July 1","still in",2
"10882",2016-12-28,"ZZHEJLZE","12/27/2016","BLACK","M",28,300000,"ROBBERY, FIRST DEGREE                 BF","HARTFORD CC","NONE",300000,300000,2016-12-28,2016-12-27,NA,NA,NA,"ZZHEJLZEROBBERY, FIRST DEGREE                 BF","in after July 1","still in",4
"10883",2016-12-28,"ZZHSEWHC","12/27/2016","HISPANIC","M",27,25000,"LARCENY, FIRST DEGREE                 BF","BRIDGEPORT CC","NONE",25000,25000,2016-12-28,2016-12-27,NA,NA,NA,"ZZHSEWHCLARCENY, FIRST DEGREE                 BF","in after July 1","still in",2
"10884",2016-12-28,"ZZSEBSJL","12/27/2016","HISPANIC","M",32,50000,"ASSAULT, FIRST DEGREE                 BF","BRIDGEPORT CC","NONE",50000,50000,2016-12-28,2016-12-27,NA,NA,NA,"ZZSEBSJLASSAULT, FIRST DEGREE                 BF","in after July 1","still in",3
"10885",2016-12-28,"ZZHHLLHS","12/27/2016","WHITE","M",32,5000,"VIOLATION OF PROBATION OR COND DISCHG","HARTFORD CC","NONE",10000,5000,2016-12-28,2016-12-27,NA,NA,NA,"ZZHHLLHSVIOLATION OF PROBATION OR COND DISCHG","in after July 1","still in",1
"10886",2016-12-28,"ZZREBLEC","12/27/2016","WHITE","M",50,25000,"CRIM VIOL OF PROTECTIVE ORDER         DF","CORRIGAN CI","NONE",25000,25000,2016-12-28,2016-12-27,NA,NA,NA,"ZZREBLECCRIM VIOL OF PROTECTIVE ORDER         DF","in after July 1","still in",2
"10887",2016-12-28,"ZZHEWEBB","12/27/2016","WHITE","F",32,750000,"CRIMINAL ATTEMPT","YORK CI","NONE",750000,750000,2016-12-28,2016-12-27,NA,NA,NA,"ZZHEWEBBCRIMINAL ATTEMPT","in after July 1","still in",4
"10888",2016-12-28,"ZZHHZJZZ","12/27/2016","BLACK","F",28,2500,"INTERFERING WITH AN OFFICER           AM","YORK CI","NONE",2500,2500,2016-12-28,2016-12-27,2016-12-29,1,2,"ZZHHZJZZINTERFERING WITH AN OFFICER           AM","in after July 1","out",1
"10889",2016-12-28,"ZZSEBSJC","12/27/2016","HISPANIC","M",23,7500,"ASSAULT ON POLICE OR FIRE OFFICER     CF","HARTFORD CC","NONE",7500,7500,2016-12-28,2016-12-27,NA,NA,NA,"ZZSEBSJCASSAULT ON POLICE OR FIRE OFFICER     CF","in after July 1","still in",1
"10890",2016-12-29,"ZZSEBWZW","12/28/2016","HISPANIC","M",38,25000,"LARCENY, FIRST DEGREE                 BF","HARTFORD CC","IMMIGRATION",25000,25000,2016-12-29,2016-12-28,2017-01-10,12,13,"ZZSEBWZWLARCENY, FIRST DEGREE                 BF","in after July 1","out",2
"10891",2016-12-29,"ZZSEBWEC","12/28/2016","HISPANIC","M",26,75000,"CARRYING WEAPONS WITHOUT A PERMIT      F","BRIDGEPORT CC","NONE",75000,75000,2016-12-29,2016-12-28,NA,NA,NA,"ZZSEBWECCARRYING WEAPONS WITHOUT A PERMIT      F","in after July 1","still in",3
"10892",2016-12-29,"ZZHCSZWS","12/28/2016","BLACK","F",32,50000,"KIDNAPPING, 2ND DEGREE                BF","YORK CI","NONE",50000,50000,2016-12-29,2016-12-28,NA,NA,NA,"ZZHCSZWSKIDNAPPING, 2ND DEGREE                BF","in after July 1","still in",3
"10893",2016-12-29,"ZZSEBWER","12/28/2016","WHITE","M",35,100000,"ARREST WITHOUT WARRANT","HARTFORD CC","NONE",100000,100000,2016-12-29,2016-12-28,2017-01-06,8,9,"ZZSEBWERARREST WITHOUT WARRANT","in after July 1","out",3
"10894",2016-12-29,"ZZSEBWES","12/28/2016","HISPANIC","M",28,1000,"INTERFERING WITH AN OFFICER           AM","BRIDGEPORT CC","NONE",1000,1000,2016-12-29,2016-12-28,NA,NA,NA,"ZZSEBWESINTERFERING WITH AN OFFICER           AM","in after July 1","still in",1
"10895",2016-12-29,"ZZRSJHSZ","12/28/2016","BLACK","M",43,20000,"ASSAULT, THIRD DEGREE                 AM","CORRIGAN CI","NONE",20000,20000,2016-12-29,2016-12-28,NA,NA,NA,"ZZRSJHSZASSAULT, THIRD DEGREE                 AM","in after July 1","still in",2
"10896",2016-12-29,"ZZSEBWZL","12/28/2016","BLACK","M",23,50000,"CARRYING WEAPONS WITHOUT A PERMIT      F","NEW HAVEN CC","NONE",50000,50000,2016-12-29,2016-12-28,NA,NA,NA,"ZZSEBWZLCARRYING WEAPONS WITHOUT A PERMIT      F","in after July 1","still in",3
"10897",2016-12-29,"ZZRJJBEC","12/28/2016","BLACK","F",39,5000,"FORGERY, THIRD DEGREE                 BM","YORK CI","NONE",5000,5000,2016-12-29,2016-12-28,2017-01-03,5,6,"ZZRJJBECFORGERY, THIRD DEGREE                 BM","in after July 1","out",1
"10898",2016-12-29,"ZZSZBJZJ","12/28/2016","WHITE","F",29,20000,"VIOLATION OF PROBATION OR COND DISCHG","YORK CI","NONE",20000,20000,2016-12-29,2016-12-28,NA,NA,NA,"ZZSZBJZJVIOLATION OF PROBATION OR COND DISCHG","in after July 1","still in",2
"10899",2016-12-29,"ZZHJCLBB","12/28/2016","BLACK","M",27,1000,"CRIM VIOL OF PROTECTIVE ORDER         DF","NEW HAVEN CC","NONE",1000,1000,2016-12-29,2016-12-28,2017-01-09,11,12,"ZZHJCLBBCRIM VIOL OF PROTECTIVE ORDER         DF","in after July 1","out",1
"10900",2016-12-29,"ZZEJLSZZ","12/28/2016","BLACK","M",43,20000,"BURGLARY, THIRD DEGREE                DF","HARTFORD CC","NONE",20000,20000,2016-12-29,2016-12-28,NA,NA,NA,"ZZEJLSZZBURGLARY, THIRD DEGREE                DF","in after July 1","still in",2
"10901",2016-12-29,"ZZSEHJLB","12/28/2016","HISPANIC","F",20,75000,"SALE OF HEROIN, COC BY NON-DEPENDENT","YORK CI","NONE",75000,75000,2016-12-29,2016-12-28,NA,NA,NA,"ZZSEHJLBSALE OF HEROIN, COC BY NON-DEPENDENT","in after July 1","still in",3
"10902",2016-12-29,"ZZEWSCZZ","12/28/2016","WHITE","M",59,1000,"FALSELY REPORTING AN INCIDENT 2ND     AM","BRIDGEPORT CC","NONE",1000,1000,2016-12-29,2016-12-28,NA,NA,NA,"ZZEWSCZZFALSELY REPORTING AN INCIDENT 2ND     AM","in after July 1","still in",1
"10903",2016-12-29,"ZZHCCRRR","12/28/2016","HISPANIC","M",26,75000,"CARRYING WEAPONS WITHOUT A PERMIT      F","BRIDGEPORT CC","NONE",75000,75000,2016-12-29,2016-12-28,NA,NA,NA,"ZZHCCRRRCARRYING WEAPONS WITHOUT A PERMIT      F","in after July 1","still in",3
"10904",2016-12-29,"ZZSEBWEE","12/28/2016","BLACK","M",30,5250,"FAILURE TO APPEAR, SECOND DEGREE      AM","BRIDGEPORT CC","NONE",5250,750,2016-12-29,2016-12-28,2017-01-04,6,7,"ZZSEBWEEFAILURE TO APPEAR, SECOND DEGREE      AM","in after July 1","out",1
"10905",2016-12-29,"ZZHSJCJH","12/28/2016","WHITE","M",37,1000,"LARCENY, SECOND DEGREE                CF","HARTFORD CC","NONE",1000,1000,2016-12-29,2016-12-28,NA,NA,NA,"ZZHSJCJHLARCENY, SECOND DEGREE                CF","in after July 1","still in",1
"10906",2016-12-29,"ZZHBBZEJ","12/28/2016","WHITE","M",57,100000,"ASSAULT, FIRST DEGREE                 BF","BRIDGEPORT CC","NONE",100000,100000,2016-12-29,2016-12-28,2017-01-04,6,7,"ZZHBBZEJASSAULT, FIRST DEGREE                 BF","in after July 1","out",3
"10907",2016-12-29,"ZZSEBWEL","12/28/2016","WHITE","M",58,10000,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",10000,10000,2016-12-29,2016-12-28,2016-12-29,0,1,"ZZSEBWELVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",1
"10908",2016-12-29,"ZZRCWLEL","12/28/2016","HISPANIC","M",37,15000,"FAILURE TO APPEAR, SECOND DEGREE      AM","HARTFORD CC","NONE",15000,15000,2016-12-29,2016-12-28,NA,NA,NA,"ZZRCWLELFAILURE TO APPEAR, SECOND DEGREE      AM","in after July 1","still in",2
"10909",2016-12-29,"ZZRSZLER","12/28/2016","HISPANIC","M",48,50000,"ROBBERY, SECOND DEGREE                CF","HARTFORD CC","NONE",50000,50000,2016-12-29,2016-12-28,NA,NA,NA,"ZZRSZLERROBBERY, SECOND DEGREE                CF","in after July 1","still in",3
"10910",2016-12-29,"ZZHJCRBW","12/28/2016","WHITE","F",34,500,"POSSESSION OF NARCOTICS","YORK CI","NONE",500,500,2016-12-29,2016-12-28,2016-12-29,0,1,"ZZHJCRBWPOSSESSION OF NARCOTICS","in after July 1","out",1
"10911",2016-12-29,"ZZSEBWEB","12/28/2016","HISPANIC","M",38,100500,"CARRYING WEAPONS WITHOUT A PERMIT      F","BRIDGEPORT CC","NONE",100500,100500,2016-12-29,2016-12-28,NA,NA,NA,"ZZSEBWEBCARRYING WEAPONS WITHOUT A PERMIT      F","in after July 1","still in",4
"10912",2016-12-29,"ZZHSZHLJ","12/28/2016","HISPANIC","M",26,20000,"CARRYING OR SALE OF DANGEROUS WEAPON","HARTFORD CC","NONE",20000,20000,2016-12-29,2016-12-28,NA,NA,NA,"ZZHSZHLJCARRYING OR SALE OF DANGEROUS WEAPON","in after July 1","still in",2
"10913",2016-12-29,"ZZZLBRSC","12/28/2016","WHITE","M",59,2000,"FAILURE TO APPEAR, SECOND DEGREE      AM","CORRIGAN CI","NONE",2000,2000,2016-12-29,2016-12-28,NA,NA,NA,"ZZZLBRSCFAILURE TO APPEAR, SECOND DEGREE      AM","in after July 1","still in",1
"10914",2016-12-29,"ZZRSCBBJ","12/28/2016","BLACK","M",36,115000,"LARCENY, THIRD DEGREE                 DF","HARTFORD CC","NONE",115000,115000,2016-12-29,2016-12-28,NA,NA,NA,"ZZRSCBBJLARCENY, THIRD DEGREE                 DF","in after July 1","still in",4
"10915",2016-12-29,"ZZRWSSBB","12/28/2016","BLACK","M",58,5000,"CARRYING OR SALE OF DANGEROUS WEAPON","NEW HAVEN CC","NONE",5000,5000,2016-12-29,2016-12-28,2016-12-29,0,1,"ZZRWSSBBCARRYING OR SALE OF DANGEROUS WEAPON","in after July 1","out",1
"10916",2016-12-29,"ZZRCJHLL","12/28/2016","HISPANIC","M",33,50000,"INJURY OR RISK OF INJURY TO MINOR      F","NEW HAVEN CC","NONE",50000,50000,2016-12-29,2016-12-28,2016-12-29,0,1,"ZZRCJHLLINJURY OR RISK OF INJURY TO MINOR      F","in after July 1","out",3
"10917",2016-12-29,"ZZSEBWEH","12/28/2016","WHITE","M",55,75000,"INJURY OR RISK OF INJURY TO MINOR      F","BRIDGEPORT CC","NONE",75000,75000,2016-12-29,2016-12-28,NA,NA,NA,"ZZSEBWEHINJURY OR RISK OF INJURY TO MINOR      F","in after July 1","still in",3
"10918",2016-12-29,"ZZHBWSWE","12/28/2016","WHITE","M",24,50000,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",50000,50000,2016-12-29,2016-12-28,NA,NA,NA,"ZZHBWSWEVIOLATION OF PROBATION OR COND DISCHG","in after July 1","still in",3
"10919",2016-12-29,"ZZHJHEJL","12/28/2016","BLACK","M",23,85000,"CRIM VIOL OF PROTECTIVE ORDER         DF","NEW HAVEN CC","NONE",85000,85000,2016-12-29,2016-12-28,NA,NA,NA,"ZZHJHEJLCRIM VIOL OF PROTECTIVE ORDER         DF","in after July 1","still in",3
"10920",2016-12-29,"ZZSEBWZC","12/28/2016","HISPANIC","F",22,150000,"ARREST WITHOUT WARRANT","YORK CI","NONE",150000,150000,2016-12-29,2016-12-28,NA,NA,NA,"ZZSEBWZCARREST WITHOUT WARRANT","in after July 1","still in",4
"10921",2016-12-29,"ZZSEBWEW","12/28/2016","WHITE","M",35,35000,"ROBBERY, FIRST DEGREE                 BF","HARTFORD CC","NONE",35000,35000,2016-12-29,2016-12-28,NA,NA,NA,"ZZSEBWEWROBBERY, FIRST DEGREE                 BF","in after July 1","still in",2
"10922",2016-12-29,"ZZRJHWHJ","12/28/2016","WHITE","M",35,35000,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",35000,35000,2016-12-29,2016-12-28,2016-12-29,0,1,"ZZRJHWHJVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",2
"10923",2016-12-29,"ZZHWBCWH","12/28/2016","WHITE","M",32,7500,"FAILURE TO OBEY AN OFFICER","OSBORN CI","NONE",7500,7500,2016-12-29,2016-12-28,2016-12-30,1,2,"ZZHWBCWHFAILURE TO OBEY AN OFFICER","in after July 1","out",1
"10924",2016-12-29,"ZZSEBWZJ","12/28/2016","WHITE","M",31,25000,"IDENTITY THEFT 3RD DEGREE             DF","HARTFORD CC","NONE",25000,25000,2016-12-29,2016-12-28,2017-01-05,7,8,"ZZSEBWZJIDENTITY THEFT 3RD DEGREE             DF","in after July 1","out",2
"10925",2016-12-29,"ZZSEBWZB","12/28/2016","BLACK","F",32,8000,"INJURY OR RISK OF INJURY TO MINOR      F","YORK CI","NONE",8000,8000,2016-12-29,2016-12-28,2017-01-09,11,12,"ZZSEBWZBINJURY OR RISK OF INJURY TO MINOR      F","in after July 1","out",1
"10926",2016-12-29,"ZZHRRJHJ","12/28/2016","WHITE","M",44,40000,"LARCENY, FIRST DEGREE                 BF","HARTFORD CC","NONE",40000,40000,2016-12-29,2016-12-28,NA,NA,NA,"ZZHRRJHJLARCENY, FIRST DEGREE                 BF","in after July 1","still in",3
"10927",2016-12-30,"ZZSEBWRW","12/29/2016","WHITE","M",30,10500,"POSSESSION OF NARCOTICS","HARTFORD CC","NONE",25500,10500,2016-12-30,2016-12-29,2017-01-10,11,12,"ZZSEBWRWPOSSESSION OF NARCOTICS","in after July 1","out",2
"10928",2016-12-29,"ZZRHLZWJ","12/28/2016","BLACK","M",43,1500000,"MURDER                                AF","NEW HAVEN CC","NONE",1500000,1500000,2016-12-29,2016-12-28,NA,NA,NA,"ZZRHLZWJMURDER                                AF","in after July 1","still in",4
"10929",2016-12-29,"ZZRJEHCZ","12/28/2016","WHITE","M",36,30000,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",30000,30000,2016-12-29,2016-12-28,NA,NA,NA,"ZZRJEHCZVIOLATION OF PROBATION OR COND DISCHG","in after July 1","still in",2
"10930",2016-12-29,"ZZHJRLEH","12/28/2016","HISPANIC","F",44,2500,"IDENTITY THEFT 3RD DEGREE             DF","YORK CI","NONE",2500,2500,2016-12-29,2016-12-28,2017-01-04,6,7,"ZZHJRLEHIDENTITY THEFT 3RD DEGREE             DF","in after July 1","out",1
"10931",2016-12-29,"ZZHCCRSL","12/28/2016","BLACK","M",25,25000,"VIOLATION OF PROBATION OR COND DISCHG","BRIDGEPORT CC","NONE",25000,25000,2016-12-29,2016-12-28,NA,NA,NA,"ZZHCCRSLVIOLATION OF PROBATION OR COND DISCHG","in after July 1","still in",2
"10932",2016-12-29,"ZZSZJEHH","12/27/2016","BLACK","M",34,20100,"CRIM VIOL OF PROTECTIVE ORDER         DF","BRIDGEPORT CC","NONE",20100,20100,2016-12-29,2016-12-27,NA,NA,NA,"ZZSZJEHHCRIM VIOL OF PROTECTIVE ORDER         DF","in after July 1","still in",2
"10933",2016-12-29,"ZZSERJHS","12/28/2016","HISPANIC","F",19,1000,"THREATENING                           AM","YORK CI","NONE",1000,1000,2016-12-29,2016-12-28,NA,NA,NA,"ZZSERJHSTHREATENING                           AM","in after July 1","still in",1
"10934",2016-12-29,"ZZHSSZCS","06/27/2016","BLACK","M",33,155000,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE  F","NEW HAVEN CC","NONE",155000,155000,2016-12-29,2016-06-27,NA,NA,NA,"ZZHSSZCSSALE OF HALLUCIGEN/NARCOTIC SUBSTANCE  F","in after July 1","still in",4
"10935",2016-12-29,"ZZESCEHC","12/28/2016","HISPANIC","M",48,75000,"VIOLATION OF PROBATION OR COND DISCHG","BRIDGEPORT CC","NONE",75000,75000,2016-12-29,2016-12-28,NA,NA,NA,"ZZESCEHCVIOLATION OF PROBATION OR COND DISCHG","in after July 1","still in",3
"10936",2016-12-29,"ZZEZHCRS","12/28/2016","WHITE","M",53,80000,"CRIM VIOL ST CRIM RESTR ORDER         DF","NEW HAVEN CC","NONE",80000,80000,2016-12-29,2016-12-28,NA,NA,NA,"ZZEZHCRSCRIM VIOL ST CRIM RESTR ORDER         DF","in after July 1","still in",3
"10937",2016-12-30,"ZZSEBWRR","12/29/2016","WHITE","M",54,10000,"FAILURE TO DRIVE ON RIGHT HAND ROADWAY","NEW HAVEN CC","NONE",10000,1000,2016-12-30,2016-12-29,NA,NA,NA,"ZZSEBWRRFAILURE TO DRIVE ON RIGHT HAND ROADWAY","in after July 1","still in",1
"10938",2016-12-30,"ZZHLWZZH","10/15/2016","BLACK","M",29,22400,"FORGERY, SECOND DEGREE                DF","HARTFORD CC","STATE OF CT",22400,22400,2016-12-30,2016-10-15,NA,NA,NA,"ZZHLWZZHFORGERY, SECOND DEGREE                DF","in after July 1","still in",2
"10939",2016-12-30,"ZZSECBZR","12/29/2016","BLACK","F",27,15000,"CRIM VIOL OF PROTECTIVE ORDER         DF","YORK CI","NONE",15000,15000,2016-12-30,2016-12-29,2017-01-10,11,12,"ZZSECBZRCRIM VIOL OF PROTECTIVE ORDER         DF","in after July 1","out",2
"10940",2016-12-30,"ZZHBHHBJ","12/29/2016","HISPANIC","F",44,500,"THREATENING                           AM","YORK CI","NONE",500,500,2016-12-30,2016-12-29,NA,NA,NA,"ZZHBHHBJTHREATENING                           AM","in after July 1","still in",1
"10941",2016-12-30,"ZZHWHCCC","12/29/2016","WHITE","F",35,300,"POSSESSION OF NARCOTICS","YORK CI","NONE",300,300,2016-12-30,2016-12-29,NA,NA,NA,"ZZHWHCCCPOSSESSION OF NARCOTICS","in after July 1","still in",1
"10942",2016-12-30,"ZZHZSWWR","12/29/2016","AMER IND","M",56,20000,"VIOLATION OF PROBATION OR COND DISCHG","HARTFORD CC","NONE",20000,20000,2016-12-30,2016-12-29,NA,NA,NA,"ZZHZSWWRVIOLATION OF PROBATION OR COND DISCHG","in after July 1","still in",2
"10943",2016-12-30,"ZZRWRJHS","12/27/2016","HISPANIC","M",46,1000000,"ASSAULT, FIRST DEGREE                 BF","GARNER","NONE",1000000,1000000,2016-12-30,2016-12-27,NA,NA,NA,"ZZRWRJHSASSAULT, FIRST DEGREE                 BF","in after July 1","still in",4
"10944",2016-12-30,"ZZRLERRH","10/12/2016","HISPANIC","M",38,22001,"LARCENY, SIXTH DEGREE                 CM","BRIDGEPORT CC","NONE",22001,22001,2016-12-30,2016-10-12,2017-01-05,6,85,"ZZRLERRHLARCENY, SIXTH DEGREE                 CM","in after July 1","out",2
"10945",2016-12-30,"ZZRLBCJE","12/29/2016","HISPANIC","M",39,3000,"INTERFERING WITH AN OFFICER           AM","BRIDGEPORT CC","NONE",3000,1500,2016-12-30,2016-12-29,NA,NA,NA,"ZZRLBCJEINTERFERING WITH AN OFFICER           AM","in after July 1","still in",1
"10946",2016-12-30,"ZZSEBWRS","12/29/2016","BLACK","M",22,10000,"ASSAULT, SECOND DEGREE                DF","NEW HAVEN CC","NONE",10000,10000,2016-12-30,2016-12-29,NA,NA,NA,"ZZSEBWRSASSAULT, SECOND DEGREE                DF","in after July 1","still in",1
"10947",2016-12-30,"ZZSESCCL","12/29/2016","HISPANIC","F",29,5000,"ASSAULT, THIRD DEGREE                 AM","YORK CI","NONE",5000,5000,2016-12-30,2016-12-29,NA,NA,NA,"ZZSESCCLASSAULT, THIRD DEGREE                 AM","in after July 1","still in",1
"10948",2016-12-30,"ZZSEBWEJ","12/29/2016","HISPANIC","M",16,200,"YOUTHFUL OFFENDER","MANSON YI","NONE",200,200,2016-12-30,2016-12-29,2017-01-09,10,11,"ZZSEBWEJYOUTHFUL OFFENDER","in after July 1","out",1
"10949",2016-12-30,"ZZSEBWRL","12/29/2016","WHITE","M",25,20000,"UNLAWFUL DISCHARGE OF FIREARMS         M","HARTFORD CC","NONE",20000,20000,2016-12-30,2016-12-29,NA,NA,NA,"ZZSEBWRLUNLAWFUL DISCHARGE OF FIREARMS         M","in after July 1","still in",2
"10950",2016-12-30,"ZZSEBWRE","12/29/2016","WHITE","M",16,50000,"CRIMINAL ATTEMPT","MANSON YI","NONE",50000,50000,2016-12-30,2016-12-29,NA,NA,NA,"ZZSEBWRECRIMINAL ATTEMPT","in after July 1","still in",3
"10951",2016-12-30,"ZZHLSJLB","12/29/2016","BLACK","M",23,20000,"SALE OF HEROIN, COC BY NON-DEPENDENT","BRIDGEPORT CC","NONE",20000,20000,2016-12-30,2016-12-29,NA,NA,NA,"ZZHLSJLBSALE OF HEROIN, COC BY NON-DEPENDENT","in after July 1","still in",2
"10952",2016-12-30,"ZZEJEBZE","12/29/2016","WHITE","M",51,1000,"CRIMINAL MISCHIEF, THIRD DEGREE       BM","NEW HAVEN CC","NONE",1000,1000,2016-12-30,2016-12-29,NA,NA,NA,"ZZEJEBZECRIMINAL MISCHIEF, THIRD DEGREE       BM","in after July 1","still in",1
"10953",2016-12-30,"ZZEWBLRR","12/29/2016","BLACK","M",51,500,"POSSESSION OF NARCOTICS","NEW HAVEN CC","NONE",500,500,2016-12-30,2016-12-29,NA,NA,NA,"ZZEWBLRRPOSSESSION OF NARCOTICS","in after July 1","still in",1
"10954",2016-12-30,"ZZHLLJHS","12/29/2016","BLACK","M",26,26500,"ASSAULT, SECOND DEGREE                DF","NEW HAVEN CC","NONE",26500,26500,2016-12-30,2016-12-29,NA,NA,NA,"ZZHLLJHSASSAULT, SECOND DEGREE                DF","in after July 1","still in",2
"10955",2016-12-30,"ZZSEBWRC","12/29/2016","HISPANIC","M",26,75000,"ARREST WITHOUT WARRANT","HARTFORD CC","NONE",75000,75000,2016-12-30,2016-12-29,NA,NA,NA,"ZZSEBWRCARREST WITHOUT WARRANT","in after July 1","still in",3
"10956",2016-12-30,"ZZSEBWHZ","12/29/2016","HISPANIC","M",36,15050,"INJURY OR RISK OF INJURY TO MINOR      F","BRIDGEPORT CC","NONE",15050,15050,2016-12-30,2016-12-29,2017-01-05,6,7,"ZZSEBWHZINJURY OR RISK OF INJURY TO MINOR      F","in after July 1","out",2
"10957",2016-12-30,"ZZHLSCRJ","12/29/2016","BLACK","M",26,45000,"BURGLARY, THIRD DEGREE                DF","BRIDGEPORT CC","NONE",45000,45000,2016-12-30,2016-12-29,NA,NA,NA,"ZZHLSCRJBURGLARY, THIRD DEGREE                DF","in after July 1","still in",3
"10958",2016-12-30,"ZZSEBWRB","12/29/2016","WHITE","F",24,6000,"CRIM VIOL OF PROTECTIVE ORDER         DF","YORK CI","NONE",6000,6000,2016-12-30,2016-12-29,2016-12-30,0,1,"ZZSEBWRBCRIM VIOL OF PROTECTIVE ORDER         DF","in after July 1","out",1
"10959",2016-12-30,"ZZHLBREC","12/29/2016","BLACK","M",25,25000,"CRIMINAL POSS OF PISTOL/REVOLVER      DF","BRIDGEPORT CC","NONE",25000,25000,2016-12-30,2016-12-29,2016-12-30,0,1,"ZZHLBRECCRIMINAL POSS OF PISTOL/REVOLVER      DF","in after July 1","out",2
"10960",2016-12-30,"ZZSECBBE","11/14/2016","HISPANIC","M",41,35000,"CREDIT CARD THEFT","BRIDGEPORT CC","NONE",35000,35000,2016-12-30,2016-11-14,NA,NA,NA,"ZZSECBBECREDIT CARD THEFT","in after July 1","still in",2
"10961",2016-12-30,"ZZHHZLWC","12/29/2016","WHITE","F",44,5200,"FORGERY, FIRST DEGREE                 CF","YORK CI","NONE",5200,5200,2016-12-30,2016-12-29,2016-12-30,0,1,"ZZHHZLWCFORGERY, FIRST DEGREE                 CF","in after July 1","out",1
"10962",2016-12-30,"ZZHHEHBB","12/29/2016","BLACK","M",29,5000,"THREATENING                           AM","NEW HAVEN CC","NONE",5000,5000,2016-12-30,2016-12-29,NA,NA,NA,"ZZHHEHBBTHREATENING                           AM","in after July 1","still in",1
"10963",2016-12-30,"ZZSEBESH","12/01/2016","BLACK","M",28,25000,"STEALING A FIREARM                    DF","BRIDGEPORT CC","NONE",25000,25000,2016-12-30,2016-12-01,NA,NA,NA,"ZZSEBESHSTEALING A FIREARM                    DF","in after July 1","still in",2
"10964",2016-12-30,"ZZSZRHHB","12/29/2016","BLACK","M",23,75000,"INJURY OR RISK OF INJURY TO MINOR      F","CORRIGAN CI","NONE",75000,75000,2016-12-30,2016-12-29,2016-12-30,0,1,"ZZSZRHHBINJURY OR RISK OF INJURY TO MINOR      F","in after July 1","out",3
"10965",2016-12-30,"ZZSEBHCZ","12/29/2016","WHITE","M",48,5000,"ASSAULT ON POLICE OR FIRE OFFICER     CF","HARTFORD CC","NONE",5000,5000,2016-12-30,2016-12-29,NA,NA,NA,"ZZSEBHCZASSAULT ON POLICE OR FIRE OFFICER     CF","in after July 1","still in",1
"10966",2016-12-30,"ZZHWHEEJ","12/29/2016","BLACK","M",31,1500,"CRIMINAL TRESPASS, SECOND DEGREE      BM","CORRIGAN CI","NONE",1500,1500,2016-12-30,2016-12-29,NA,NA,NA,"ZZHWHEEJCRIMINAL TRESPASS, SECOND DEGREE      BM","in after July 1","still in",1
"10967",2016-12-30,"ZZSEWHRB","12/29/2016","WHITE","M",35,160000,"ILLEGAL MANUFACTUAL OR SALE OF DRUGS","CORRIGAN CI","NONE",160000,160000,2016-12-30,2016-12-29,NA,NA,NA,"ZZSEWHRBILLEGAL MANUFACTUAL OR SALE OF DRUGS","in after July 1","still in",4
"10968",2016-12-30,"ZZHSLJRL","12/29/2016","WHITE","M",28,75000,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",75000,75000,2016-12-30,2016-12-29,NA,NA,NA,"ZZHSLJRLVIOLATION OF PROBATION OR COND DISCHG","in after July 1","still in",3
"10969",2016-12-30,"ZZHHCRWL","12/29/2016","BLACK","M",29,150000,"DRUG PARAPHERNALIA IN DRUG FACTORY     F","NEW HAVEN CC","NONE",150000,150000,2016-12-30,2016-12-29,2017-01-09,10,11,"ZZHHCRWLDRUG PARAPHERNALIA IN DRUG FACTORY     F","in after July 1","out",4
"10970",2016-12-30,"ZZRCLESC","12/29/2016","BLACK","M",34,2500,"SALE OF NARC/AMPHET BY NON-DEPENDENT   F","NEW HAVEN CC","NONE",2500,2500,2016-12-30,2016-12-29,NA,NA,NA,"ZZRCLESCSALE OF NARC/AMPHET BY NON-DEPENDENT   F","in after July 1","still in",1
"10971",2016-12-30,"ZZSEBWRH","12/29/2016","BLACK","M",23,26000,"CRIMINAL MISCHIEF, FIRST DEGREE       DF","BRIDGEPORT CC","NONE",26000,26000,2016-12-30,2016-12-29,NA,NA,NA,"ZZSEBWRHCRIMINAL MISCHIEF, FIRST DEGREE       DF","in after July 1","still in",2
